path,label,attack_id,channel,source,license,engine,dialect,script_id,speaker_ref,duration_s
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.phone8k.wav,spoof,RT-EDGETTS-MANDARIN,phone8k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.mp3_16k.mp3,spoof,RT-EDGETTS-MANDARIN,mp3_16k,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.amr.wav,spoof,RT-EDGETTS-MANDARIN,amr,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.noise.wav,spoof,RT-EDGETTS-MANDARIN,noise,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,
